date,industry,unemployment_rate,tariff_rate,post_treatment,lobbying_index
2022-06-01,Information,3.1,0.5,0,7.5
2022-07-01,Information,2.4,0.5,0,7.5
2022-08-01,Information,3.2,0.5,0,7.5
2022-09-01,Information,3.2,0.5,0,7.5
2022-10-01,Information,3.3,0.5,0,7.5
2022-11-01,Information,2.1,0.5,0,7.5
2022-12-01,Information,2.4,0.5,0,7.5
2023-01-01,Information,3.9,0.5,0,7.5
2023-02-01,Information,3.2,0.5,0,7.5
2023-03-01,Information,3.1,0.5,0,7.5
2023-04-01,Information,1.4,0.5,0,7.5
2023-05-01,Information,2.5,0.5,0,7.5
2023-06-01,Information,3.1,0.5,0,7.5
2023-07-01,Information,2.4,0.5,0,7.5
2023-08-01,Information,4.1,0.5,0,7.5
2023-09-01,Information,4.3,0.5,0,7.5
2023-10-01,Information,3.7,0.5,0,7.5
2023-11-01,Information,3.7,0.5,0,7.5
2023-12-01,Information,3.1,0.5,0,7.5
2024-01-01,Information,5.5,0.5,0,7.5
2024-02-01,Information,4.3,0.5,0,7.5
2024-03-01,Information,3.6,0.5,0,7.5
2024-04-01,Information,5,0.5,0,7.5
2024-05-01,Information,4.7,0.5,0,7.5
2024-06-01,Information,5.9,0.5,0,7.5
2024-07-01,Information,5.6,0.5,0,7.5
2024-08-01,Information,6,0.5,0,7.5
2024-09-01,Information,3.8,0.5,0,7.5
2024-10-01,Information,2.7,0.5,0,7.5
2024-11-01,Information,2.3,0.5,0,7.5
2024-12-01,Information,3.9,0.5,0,7.5
2025-01-01,Information,5.7,0.5,0,7.5
2025-02-01,Information,5.4,5.5,1,7.5
2025-03-01,Information,5,5.5,1,7.5
2025-04-01,Information,4.6,5.5,1,7.5
2025-05-01,Information,5.5,5.5,1,7.5
2025-06-01,Information,4,5.5,1,7.5
2025-07-01,Information,5.5,5.5,1,7.5
2025-08-01,Information,4.5,5.5,1,7.5
2025-09-01,Information,7,5.5,1,7.5
2010-01-01,Leisure_Hospitality,14.2,0,0,2
2010-02-01,Leisure_Hospitality,12.7,0,0,2
2010-03-01,Leisure_Hospitality,12.5,0,0,2
2010-04-01,Leisure_Hospitality,12.8,0,0,2
2010-05-01,Leisure_Hospitality,12.4,0,0,2
2010-06-01,Leisure_Hospitality,12.3,0,0,2
